control/mA	<Ewe>/V	
0.0000000E+000	1.2690060E+000
0.0000000E+000	1.2678820E+000
0.0000000E+000	1.2659450E+000
0.0000000E+000	1.2642242E+000
0.0000000E+000	1.2626393E+000
0.0000000E+000	1.2611742E+000
0.0000000E+000	1.2598047E+000
0.0000000E+000	1.2585198E+000
0.0000000E+000	1.2573028E+000
0.0000000E+000	1.2561469E+000
0.0000000E+000	1.2550477E+000
0.0000000E+000	1.2539852E+000
0.0000000E+000	1.2529683E+000
0.0000000E+000	1.2519900E+000
0.0000000E+000	1.2510567E+000
0.0000000E+000	1.2501456E+000
0.0000000E+000	1.2492725E+000
0.0000000E+000	1.2484232E+000
0.0000000E+000	1.2475877E+000
0.0000000E+000	1.2467934E+000
0.0000000E+000	1.2460161E+000
0.0000000E+000	1.2452568E+000
0.0000000E+000	1.2445062E+000
0.0000000E+000	1.2437749E+000
0.0000000E+000	1.2430695E+000
0.0000000E+000	1.2423776E+000
0.0000000E+000	1.2416987E+000
0.0000000E+000	1.2410437E+000
0.0000000E+000	1.2403929E+000
0.0000000E+000	1.2397559E+000
0.0000000E+000	1.2391214E+000
0.0000000E+000	1.2385056E+000
0.0000000E+000	1.2378997E+000
0.0000000E+000	1.2373055E+000
0.0000000E+000	1.2367313E+000
0.0000000E+000	1.2361552E+000
0.0000000E+000	1.2355868E+000
0.0000000E+000	1.2350324E+000
0.0000000E+000	1.2344829E+000
0.0000000E+000	1.2339406E+000
0.0000000E+000	1.2334077E+000
0.0000000E+000	1.2328740E+000
0.0000000E+000	1.2323605E+000
0.0000000E+000	1.2318538E+000
0.0000000E+000	1.2313561E+000
0.0000000E+000	1.2308489E+000
0.0000000E+000	1.2303588E+000
0.0000000E+000	1.2298657E+000
0.0000000E+000	1.2293870E+000
0.0000000E+000	1.2289113E+000
0.0000000E+000	1.2284416E+000
2.0000000E-002	1.2289580E+000
2.0000000E-002	1.2285895E+000
2.0000000E-002	1.2282180E+000
2.0000000E-002	1.2278383E+000
2.0000000E-002	1.2274696E+000
2.0000000E-002	1.2271049E+000
2.0000000E-002	1.2267493E+000
2.0000000E-002	1.2263952E+000
2.0000000E-002	1.2260334E+000
2.0000000E-002	1.2256905E+000
2.0000000E-002	1.2253408E+000
2.0000000E-002	1.2249835E+000
2.0000000E-002	1.2246317E+000
2.0000000E-002	1.2242993E+000
2.0000000E-002	1.2239611E+000
2.0000000E-002	1.2236267E+000
2.0000000E-002	1.2232926E+000
2.0000000E-002	1.2229643E+000
2.0000000E-002	1.2226367E+000
2.0000000E-002	1.2223097E+000
2.0000000E-002	1.2219982E+000
2.0000000E-002	1.2216917E+000
2.0000000E-002	1.2213674E+000
2.0000000E-002	1.2210555E+000
2.0000000E-002	1.2207434E+000
2.0000000E-002	1.2204437E+000
2.0000000E-002	1.2201377E+000
2.0000000E-002	1.2198290E+000
2.0000000E-002	1.2195280E+000
2.0000000E-002	1.2192395E+000
2.0000000E-002	1.2189401E+000
2.0000000E-002	1.2186545E+000
2.0000000E-002	1.2183599E+000
2.0000000E-002	1.2180729E+000
