control/mA	<Ewe>/V	
0.0000000E+000	2.5814313E-001
0.0000000E+000	1.9609012E-001
0.0000000E+000	1.6395810E-001
0.0000000E+000	1.4349528E-001
0.0000000E+000	1.2518060E-001
0.0000000E+000	1.1124343E-001
0.0000000E+000	9.8543070E-002
0.0000000E+000	8.7761045E-002
0.0000000E+000	7.8345731E-002
0.0000000E+000	6.9883406E-002
0.0000000E+000	6.1317347E-002
0.0000000E+000	5.4285299E-002
0.0000000E+000	4.6840329E-002
0.0000000E+000	3.9707791E-002
0.0000000E+000	3.5113033E-002
0.0000000E+000	2.8557289E-002
0.0000000E+000	2.2599032E-002
0.0000000E+000	1.6952936E-002
0.0000000E+000	1.3175090E-002
0.0000000E+000	7.4068569E-003
0.0000000E+000	1.5568403E-003
0.0000000E+000	-2.5385148E-003
0.0000000E+000	-6.9320216E-003
0.0000000E+000	-9.7524542E-003
0.0000000E+000	-1.2119493E-002
0.0000000E+000	-1.5967973E-002
0.0000000E+000	-2.0321542E-002
0.0000000E+000	-2.4419798E-002
0.0000000E+000	-2.6671533E-002
0.0000000E+000	-3.0790521E-002
0.0000000E+000	-3.3680100E-002
0.0000000E+000	-3.6227539E-002
0.0000000E+000	-3.9669510E-002
0.0000000E+000	-4.2623002E-002
0.0000000E+000	-4.5087859E-002
0.0000000E+000	-4.8404943E-002
0.0000000E+000	-5.1530782E-002
0.0000000E+000	-5.4797392E-002
0.0000000E+000	-5.5698257E-002
0.0000000E+000	-5.7884321E-002
0.0000000E+000	-6.0160488E-002
0.0000000E+000	-6.2708355E-002
0.0000000E+000	-6.5930672E-002
0.0000000E+000	-6.8160035E-002
0.0000000E+000	-7.0454106E-002
0.0000000E+000	-7.2786704E-002
0.0000000E+000	-7.5399205E-002
0.0000000E+000	-7.7267148E-002
0.0000000E+000	-7.8787647E-002
0.0000000E+000	-8.0615424E-002
0.0000000E+000	-8.2940228E-002
2.0000000E-002	1.2629529E+000
2.0000000E-002	1.6305267E+000
0.0000000E+000	6.7090279E-001
0.0000000E+000	6.7083633E-001
0.0000000E+000	6.7079878E-001
0.0000000E+000	6.7074549E-001
0.0000000E+000	6.7067051E-001
0.0000000E+000	6.7059290E-001
0.0000000E+000	6.7051893E-001
0.0000000E+000	6.7043400E-001
0.0000000E+000	6.7035770E-001
0.0000000E+000	6.7028135E-001
0.0000000E+000	6.7020768E-001
0.0000000E+000	6.7012852E-001
0.0000000E+000	6.7005497E-001
0.0000000E+000	6.6997206E-001
0.0000000E+000	6.6990507E-001
0.0000000E+000	6.6983271E-001
0.0000000E+000	6.6975760E-001
0.0000000E+000	6.6969055E-001
0.0000000E+000	6.6962230E-001
0.0000000E+000	6.6955322E-001
0.0000000E+000	6.6948456E-001
0.0000000E+000	6.6941226E-001
0.0000000E+000	6.6934866E-001
0.0000000E+000	6.6928369E-001
0.0000000E+000	6.6922224E-001
0.0000000E+000	6.6916370E-001
0.0000000E+000	6.6909933E-001
0.0000000E+000	6.6903746E-001
0.0000000E+000	6.6898012E-001
0.0000000E+000	6.6892278E-001
0.0000000E+000	6.6886866E-001
0.0000000E+000	6.6880745E-001
0.0000000E+000	6.6874945E-001
0.0000000E+000	6.6869146E-001
0.0000000E+000	6.6865033E-001
0.0000000E+000	6.6858673E-001
0.0000000E+000	6.6853279E-001
0.0000000E+000	6.6848511E-001
0.0000000E+000	6.6842574E-001
0.0000000E+000	6.6836798E-001
0.0000000E+000	6.6832536E-001
0.0000000E+000	6.6827369E-001
0.0000000E+000	6.6822869E-001
0.0000000E+000	6.6817725E-001
0.0000000E+000	6.6812980E-001
0.0000000E+000	6.6807395E-001
0.0000000E+000	6.6802716E-001
0.0000000E+000	6.6797566E-001
0.0000000E+000	6.6792905E-001
0.0000000E+000	6.6788578E-001
0.0000000E+000	6.6783887E-001
2.0000000E-002	6.6884041E-001
2.0000000E-002	6.6900527E-001
2.0000000E-002	6.6914040E-001
2.0000000E-002	6.6926843E-001
2.0000000E-002	6.6938519E-001
2.0000000E-002	6.6950488E-001
2.0000000E-002	6.6961056E-001
2.0000000E-002	6.6970235E-001
2.0000000E-002	6.6979170E-001
2.0000000E-002	6.6987664E-001
2.0000000E-002	6.6996747E-001
2.0000000E-002	6.7005181E-001
2.0000000E-002	6.7013490E-001
2.0000000E-002	6.7020053E-001
2.0000000E-002	6.7027712E-001
2.0000000E-002	6.7034751E-001
2.0000000E-002	6.7041582E-001
2.0000000E-002	6.7048395E-001
2.0000000E-002	6.7054325E-001
2.0000000E-002	6.7060864E-001
2.0000000E-002	6.7067170E-001
2.0000000E-002	6.7072648E-001
2.0000000E-002	6.7078727E-001
2.0000000E-002	6.7083061E-001
2.0000000E-002	6.7089486E-001
2.0000000E-002	6.7094231E-001
2.0000000E-002	6.7099339E-001
2.0000000E-002	6.7104864E-001
2.0000000E-002	6.7109376E-001
2.0000000E-002	6.7114401E-001
2.0000000E-002	6.7118949E-001
2.0000000E-002	6.7124116E-001
2.0000000E-002	6.7128903E-001
2.0000000E-002	6.7133182E-001
2.0000000E-002	6.7138296E-001
2.0000000E-002	6.7142576E-001
2.0000000E-002	6.7147267E-001
2.0000000E-002	6.7151046E-001
2.0000000E-002	6.7154938E-001
2.0000000E-002	6.7159784E-001
2.0000000E-002	6.7163497E-001
2.0000000E-002	6.7167586E-001
2.0000000E-002	6.7171633E-001
2.0000000E-002	6.7175531E-001
2.0000000E-002	6.7180431E-001
2.0000000E-002	6.7184407E-001
2.0000000E-002	6.7187792E-001
2.0000000E-002	6.7192429E-001
2.0000000E-002	6.7195696E-001
2.0000000E-002	6.7199349E-001
2.0000000E-002	6.7186868E-001
2.0000000E-002	6.7203635E-001
2.0000000E-002	6.7206836E-001
2.0000000E-002	6.7211109E-001
