control/mA	<Ewe>/V	
0.0000000E+000	1.2512866E+000
0.0000000E+000	1.2494229E+000
0.0000000E+000	1.2467364E+000
0.0000000E+000	1.2445614E+000
0.0000000E+000	1.2426909E+000
0.0000000E+000	1.2410609E+000
0.0000000E+000	1.2395638E+000
0.0000000E+000	1.2382029E+000
0.0000000E+000	1.2369392E+000
0.0000000E+000	1.2357424E+000
0.0000000E+000	1.2346059E+000
0.0000000E+000	1.2335272E+000
0.0000000E+000	1.2325238E+000
0.0000000E+000	1.2315515E+000
0.0000000E+000	1.2305979E+000
0.0000000E+000	1.2296863E+000
0.0000000E+000	1.2288321E+000
0.0000000E+000	1.2279612E+000
0.0000000E+000	1.2271351E+000
0.0000000E+000	1.2263490E+000
0.0000000E+000	1.2255653E+000
0.0000000E+000	1.2248046E+000
0.0000000E+000	1.2240583E+000
0.0000000E+000	1.2233564E+000
0.0000000E+000	1.2226272E+000
0.0000000E+000	1.2219290E+000
0.0000000E+000	1.2212534E+000
0.0000000E+000	1.2205797E+000
0.0000000E+000	1.2199231E+000
0.0000000E+000	1.2192900E+000
0.0000000E+000	1.2186645E+000
0.0000000E+000	1.2180340E+000
0.0000000E+000	1.2174289E+000
0.0000000E+000	1.2168510E+000
0.0000000E+000	1.2162467E+000
0.0000000E+000	1.2156854E+000
0.0000000E+000	1.2151173E+000
0.0000000E+000	1.2145505E+000
0.0000000E+000	1.2139956E+000
0.0000000E+000	1.2134528E+000
0.0000000E+000	1.2129232E+000
0.0000000E+000	1.2123766E+000
0.0000000E+000	1.2118568E+000
0.0000000E+000	1.2113446E+000
0.0000000E+000	1.2108500E+000
0.0000000E+000	1.2103337E+000
0.0000000E+000	1.2098502E+000
0.0000000E+000	1.2093427E+000
0.0000000E+000	1.2088784E+000
0.0000000E+000	1.2083924E+000
0.0000000E+000	1.2079178E+000
2.0000000E-002	1.2088780E+000
2.0000000E-002	1.2085392E+000
2.0000000E-002	1.2081611E+000
2.0000000E-002	1.2078073E+000
2.0000000E-002	1.2074376E+000
2.0000000E-002	1.2070687E+000
2.0000000E-002	1.2066678E+000
2.0000000E-002	1.2062962E+000
2.0000000E-002	1.2059284E+000
2.0000000E-002	1.2055691E+000
2.0000000E-002	1.2051823E+000
2.0000000E-002	1.2048401E+000
2.0000000E-002	1.2044668E+000
2.0000000E-002	1.2041172E+000
2.0000000E-002	1.2037393E+000
2.0000000E-002	1.2033954E+000
2.0000000E-002	1.2030518E+000
2.0000000E-002	1.2027084E+000
2.0000000E-002	1.2023638E+000
2.0000000E-002	1.2020450E+000
2.0000000E-002	1.2017012E+000
2.0000000E-002	1.2013522E+000
2.0000000E-002	1.2010411E+000
2.0000000E-002	1.2007174E+000
2.0000000E-002	1.2003633E+000
2.0000000E-002	1.2000540E+000
2.0000000E-002	1.1997334E+000
2.0000000E-002	1.1994051E+000
2.0000000E-002	1.1990982E+000
2.0000000E-002	1.1987816E+000
2.0000000E-002	1.1984900E+000
2.0000000E-002	1.1981705E+000
2.0000000E-002	1.1978717E+000
2.0000000E-002	1.1975665E+000
2.0000000E-002	1.1972705E+000
2.0000000E-002	1.1969807E+000
2.0000000E-002	1.1966791E+000
2.0000000E-002	1.1963769E+000
2.0000000E-002	1.1960800E+000
2.0000000E-002	1.1958009E+000
2.0000000E-002	1.1955209E+000
2.0000000E-002	1.1952530E+000
2.0000000E-002	1.1949644E+000
2.0000000E-002	1.1946594E+000
2.0000000E-002	1.1943848E+000
2.0000000E-002	1.1940930E+000
2.0000000E-002	1.1938277E+000
2.0000000E-002	1.1935440E+000
2.0000000E-002	1.1932911E+000
2.0000000E-002	1.1930178E+000
2.0000000E-002	1.1926249E+000
2.0000000E-002	1.1927439E+000
2.0000000E-002	1.1924876E+000
2.0000000E-002	1.1922228E+000
