control/mA	<Ewe>/V	
0.0000000E+000	1.2247211E+000
0.0000000E+000	1.2221779E+000
0.0000000E+000	1.2188147E+000
0.0000000E+000	1.2162364E+000
0.0000000E+000	1.2140059E+000
0.0000000E+000	1.2120428E+000
0.0000000E+000	1.2102553E+000
0.0000000E+000	1.2086029E+000
0.0000000E+000	1.2070800E+000
0.0000000E+000	1.2056626E+000
0.0000000E+000	1.2043186E+000
0.0000000E+000	1.2030585E+000
0.0000000E+000	1.2018845E+000
0.0000000E+000	1.2007406E+000
0.0000000E+000	1.1996490E+000
0.0000000E+000	1.1986128E+000
0.0000000E+000	1.1976212E+000
0.0000000E+000	1.1966627E+000
0.0000000E+000	1.1957377E+000
0.0000000E+000	1.1948426E+000
0.0000000E+000	1.1939921E+000
0.0000000E+000	1.1931560E+000
0.0000000E+000	1.1923504E+000
0.0000000E+000	1.1915678E+000
0.0000000E+000	1.1907958E+000
0.0000000E+000	1.1900563E+000
0.0000000E+000	1.1893219E+000
0.0000000E+000	1.1886138E+000
0.0000000E+000	1.1879325E+000
0.0000000E+000	1.1872725E+000
0.0000000E+000	1.1866090E+000
0.0000000E+000	1.1859550E+000
0.0000000E+000	1.1853343E+000
0.0000000E+000	1.1847022E+000
0.0000000E+000	1.1840919E+000
0.0000000E+000	1.1835153E+000
0.0000000E+000	1.1829222E+000
0.0000000E+000	1.1823661E+000
0.0000000E+000	1.1817902E+000
0.0000000E+000	1.1812389E+000
0.0000000E+000	1.1806931E+000
0.0000000E+000	1.1801751E+000
0.0000000E+000	1.1796284E+000
0.0000000E+000	1.1791300E+000
0.0000000E+000	1.1786096E+000
0.0000000E+000	1.1780980E+000
0.0000000E+000	1.1776141E+000
0.0000000E+000	1.1771277E+000
0.0000000E+000	1.1766317E+000
0.0000000E+000	1.1761535E+000
0.0000000E+000	1.1756680E+000
2.0000000E-002	1.1764003E+000
2.0000000E-002	1.1760995E+000
2.0000000E-002	1.1757323E+000
2.0000000E-002	1.1753759E+000
2.0000000E-002	1.1750242E+000
2.0000000E-002	1.1746783E+000
2.0000000E-002	1.1743217E+000
2.0000000E-002	1.1739794E+000
2.0000000E-002	1.1736540E+000
2.0000000E-002	1.1733131E+000
2.0000000E-002	1.1729834E+000
2.0000000E-002	1.1726398E+000
2.0000000E-002	1.1723331E+000
2.0000000E-002	1.1719986E+000
2.0000000E-002	1.1716924E+000
2.0000000E-002	1.1713647E+000
2.0000000E-002	1.1710520E+000
2.0000000E-002	1.1707343E+000
2.0000000E-002	1.1704397E+000
2.0000000E-002	1.1701100E+000
2.0000000E-002	1.1698184E+000
2.0000000E-002	1.1695192E+000
2.0000000E-002	1.1692245E+000
2.0000000E-002	1.1689337E+000
2.0000000E-002	1.1686447E+000
2.0000000E-002	1.1683509E+000
2.0000000E-002	1.1680735E+000
2.0000000E-002	1.1677964E+000
2.0000000E-002	1.1675156E+000
2.0000000E-002	1.1672382E+000
2.0000000E-002	1.1669683E+000
2.0000000E-002	1.1666803E+000
2.0000000E-002	1.1664169E+000
2.0000000E-002	1.1661412E+000
2.0000000E-002	1.1658746E+000
2.0000000E-002	1.1656181E+000
2.0000000E-002	1.1653469E+000
2.0000000E-002	1.1650915E+000
2.0000000E-002	1.1648325E+000
2.0000000E-002	1.1645772E+000
2.0000000E-002	1.1643337E+000
2.0000000E-002	1.1640913E+000
2.0000000E-002	1.1638418E+000
2.0000000E-002	1.1635926E+000
2.0000000E-002	1.1633468E+000
2.0000000E-002	1.1631079E+000
2.0000000E-002	1.1628640E+000
2.0000000E-002	1.1626240E+000
2.0000000E-002	1.1623883E+000
2.0000000E-002	1.1621535E+000
2.0000000E-002	1.1620041E+000
2.0000000E-002	1.1619251E+000
2.0000000E-002	1.1616843E+000
2.0000000E-002	1.1614563E+000
2.0000000E-002	1.1612334E+000
2.0000000E-002	1.1609949E+000
2.0000000E-002	1.1607695E+000
2.0000000E-002	1.1605483E+000
2.0000000E-002	1.1603304E+000
2.0000000E-002	1.1600965E+000
2.0000000E-002	1.1598856E+000
2.0000000E-002	1.1596740E+000
2.0000000E-002	1.1594529E+000
2.0000000E-002	1.1592447E+000
2.0000000E-002	1.1590335E+000
2.0000000E-002	1.1588244E+000
2.0000000E-002	1.1586245E+000
2.0000000E-002	1.1584074E+000
2.0000000E-002	1.1582108E+000
2.0000000E-002	1.1579977E+000
2.0000000E-002	1.1577870E+000
2.0000000E-002	1.1575830E+000
2.0000000E-002	1.1573852E+000
2.0000000E-002	1.1571903E+000
2.0000000E-002	1.1569842E+000
2.0000000E-002	1.1567953E+000
2.0000000E-002	1.1565982E+000
2.0000000E-002	1.1564014E+000
2.0000000E-002	1.1561933E+000
2.0000000E-002	1.1560088E+000
2.0000000E-002	1.1558203E+000
2.0000000E-002	1.1556349E+000
2.0000000E-002	1.1554415E+000
2.0000000E-002	1.1552503E+000
2.0000000E-002	1.1550556E+000
2.0000000E-002	1.1548781E+000
2.0000000E-002	1.1546901E+000
2.0000000E-002	1.1545078E+000
2.0000000E-002	1.1543341E+000
2.0000000E-002	1.1541492E+000
2.0000000E-002	1.1539713E+000
2.0000000E-002	1.1537873E+000
2.0000000E-002	1.1536081E+000
2.0000000E-002	1.1534412E+000
2.0000000E-002	1.1532584E+000
2.0000000E-002	1.1530960E+000
2.0000000E-002	1.1529156E+000
2.0000000E-002	1.1527630E+000
2.0000000E-002	1.1525891E+000
2.0000000E-002	1.1524240E+000
2.0000000E-002	1.1522588E+000
2.0000000E-002	1.1519817E+000
2.0000000E-002	1.1520873E+000
2.0000000E-002	1.1519251E+000
2.0000000E-002	1.1517659E+000
2.0000000E-002	1.1515971E+000
2.0000000E-002	1.1514382E+000
2.0000000E-002	1.1512669E+000
2.0000000E-002	1.1511062E+000
2.0000000E-002	1.1509563E+000
2.0000000E-002	1.1507982E+000
2.0000000E-002	1.1506377E+000
2.0000000E-002	1.1504799E+000
2.0000000E-002	1.1503175E+000
2.0000000E-002	1.1501552E+000
2.0000000E-002	1.1499925E+000
2.0000000E-002	1.1498555E+000
2.0000000E-002	1.1496956E+000
2.0000000E-002	1.1495423E+000
2.0000000E-002	1.1493915E+000
2.0000000E-002	1.1492392E+000
2.0000000E-002	1.1490984E+000
2.0000000E-002	1.1489463E+000
2.0000000E-002	1.1487952E+000
2.0000000E-002	1.1486516E+000
2.0000000E-002	1.1485054E+000
2.0000000E-002	1.1483623E+000
2.0000000E-002	1.1482084E+000
2.0000000E-002	1.1480708E+000
2.0000000E-002	1.1479261E+000
2.0000000E-002	1.1477826E+000
2.0000000E-002	1.1476389E+000
2.0000000E-002	1.1474874E+000
2.0000000E-002	1.1473460E+000
2.0000000E-002	1.1472101E+000
2.0000000E-002	1.1470606E+000
2.0000000E-002	1.1469239E+000
2.0000000E-002	1.1467845E+000
2.0000000E-002	1.1466500E+000
2.0000000E-002	1.1465130E+000
2.0000000E-002	1.1463742E+000
2.0000000E-002	1.1462346E+000
2.0000000E-002	1.1461018E+000
2.0000000E-002	1.1459643E+000
2.0000000E-002	1.1458403E+000
2.0000000E-002	1.1457037E+000
2.0000000E-002	1.1455675E+000
2.0000000E-002	1.1454287E+000
2.0000000E-002	1.1452872E+000
2.0000000E-002	1.1451702E+000
2.0000000E-002	1.1450311E+000
2.0000000E-002	1.1449134E+000
2.0000000E-002	1.1448228E+000
2.0000000E-002	1.1447753E+000
2.0000000E-002	1.1446491E+000
2.0000000E-002	1.1445243E+000
2.0000000E-002	1.1443954E+000
2.0000000E-002	1.1442739E+000
2.0000000E-002	1.1441380E+000
2.0000000E-002	1.1440243E+000
2.0000000E-002	1.1438922E+000
2.0000000E-002	1.1437747E+000
2.0000000E-002	1.1436510E+000
2.0000000E-002	1.1435349E+000
2.0000000E-002	1.1434116E+000
2.0000000E-002	1.1432816E+000
2.0000000E-002	1.1431649E+000
2.0000000E-002	1.1430364E+000
2.0000000E-002	1.1429225E+000
2.0000000E-002	1.1428030E+000
2.0000000E-002	1.1426685E+000
2.0000000E-002	1.1425520E+000
2.0000000E-002	1.1424419E+000
2.0000000E-002	1.1423328E+000
2.0000000E-002	1.1422101E+000
2.0000000E-002	1.1420931E+000
2.0000000E-002	1.1419754E+000
2.0000000E-002	1.1418490E+000
2.0000000E-002	1.1417407E+000
2.0000000E-002	1.1416268E+000
2.0000000E-002	1.1415037E+000
2.0000000E-002	1.1414000E+000
2.0000000E-002	1.1412841E+000
2.0000000E-002	1.1411731E+000
2.0000000E-002	1.1410676E+000
2.0000000E-002	1.1409632E+000
2.0000000E-002	1.1408535E+000
2.0000000E-002	1.1407406E+000
2.0000000E-002	1.1406249E+000
2.0000000E-002	1.1405168E+000
2.0000000E-002	1.1404029E+000
2.0000000E-002	1.1403033E+000
2.0000000E-002	1.1401807E+000
2.0000000E-002	1.1400819E+000
2.0000000E-002	1.1399778E+000
2.0000000E-002	1.1398815E+000
2.0000000E-002	1.1397589E+000
2.0000000E-002	1.1396611E+000
2.0000000E-002	1.1395550E+000
2.0000000E-002	1.1394506E+000
2.0000000E-002	1.1393387E+000
2.0000000E-002	1.1392324E+000
2.0000000E-002	1.1391249E+000
2.0000000E-002	1.1389240E+000
2.0000000E-002	1.1390290E+000
2.0000000E-002	1.1389272E+000
2.0000000E-002	1.1388379E+000
2.0000000E-002	1.1387337E+000
2.0000000E-002	1.1386204E+000
2.0000000E-002	1.1385225E+000
2.0000000E-002	1.1384267E+000
2.0000000E-002	1.1383184E+000
2.0000000E-002	1.1382248E+000
2.0000000E-002	1.1381303E+000
2.0000000E-002	1.1380155E+000
2.0000000E-002	1.1379266E+000
2.0000000E-002	1.1378260E+000
2.0000000E-002	1.1377307E+000
2.0000000E-002	1.1376311E+000
2.0000000E-002	1.1375334E+000
2.0000000E-002	1.1374502E+000
2.0000000E-002	1.1373427E+000
2.0000000E-002	1.1372393E+000
2.0000000E-002	1.1371518E+000
2.0000000E-002	1.1370559E+000
2.0000000E-002	1.1369594E+000
2.0000000E-002	1.1368631E+000
2.0000000E-002	1.1367677E+000
2.0000000E-002	1.1366764E+000
2.0000000E-002	1.1365701E+000
2.0000000E-002	1.1364727E+000
2.0000000E-002	1.1364019E+000
2.0000000E-002	1.1362995E+000
2.0000000E-002	1.1362144E+000
2.0000000E-002	1.1361184E+000
2.0000000E-002	1.1360139E+000
2.0000000E-002	1.1359510E+000
2.0000000E-002	1.1358433E+000
2.0000000E-002	1.1357692E+000
2.0000000E-002	1.1356622E+000
2.0000000E-002	1.1355770E+000
2.0000000E-002	1.1354905E+000
2.0000000E-002	1.1353943E+000
2.0000000E-002	1.1353133E+000
2.0000000E-002	1.1352251E+000
2.0000000E-002	1.1351409E+000
2.0000000E-002	1.1350528E+000
2.0000000E-002	1.1349502E+000
2.0000000E-002	1.1348629E+000
2.0000000E-002	1.1347802E+000
2.0000000E-002	1.1346937E+000
2.0000000E-002	1.1346130E+000
2.0000000E-002	1.1345158E+000
2.0000000E-002	1.1344252E+000
2.0000000E-002	1.1343806E+000
2.0000000E-002	1.1343523E+000
2.0000000E-002	1.1342617E+000
2.0000000E-002	1.1341698E+000
2.0000000E-002	1.1340911E+000
2.0000000E-002	1.1340052E+000
2.0000000E-002	1.1339339E+000
2.0000000E-002	1.1338555E+000
2.0000000E-002	1.1337690E+000
2.0000000E-002	1.1336803E+000
2.0000000E-002	1.1335940E+000
2.0000000E-002	1.1335151E+000
2.0000000E-002	1.1334264E+000
2.0000000E-002	1.1333522E+000
2.0000000E-002	1.1332648E+000
2.0000000E-002	1.1331835E+000
2.0000000E-002	1.1331075E+000
2.0000000E-002	1.1330110E+000
2.0000000E-002	1.1329406E+000
2.0000000E-002	1.1328663E+000
2.0000000E-002	1.1327966E+000
2.0000000E-002	1.1327119E+000
2.0000000E-002	1.1326380E+000
2.0000000E-002	1.1325543E+000
2.0000000E-002	1.1324769E+000
2.0000000E-002	1.1324054E+000
2.0000000E-002	1.1323208E+000
2.0000000E-002	1.1322389E+000
2.0000000E-002	1.1321669E+000
2.0000000E-002	1.1320896E+000
2.0000000E-002	1.1320162E+000
2.0000000E-002	1.1319368E+000
2.0000000E-002	1.1318661E+000
2.0000000E-002	1.1317918E+000
2.0000000E-002	1.1317147E+000
2.0000000E-002	1.1316363E+000
2.0000000E-002	1.1315700E+000
2.0000000E-002	1.1314927E+000
2.0000000E-002	1.1314195E+000
2.0000000E-002	1.1313425E+000
2.0000000E-002	1.1312706E+000
2.0000000E-002	1.1312001E+000
2.0000000E-002	1.1311264E+000
2.0000000E-002	1.1310477E+000
2.0000000E-002	1.1309781E+000
2.0000000E-002	1.1309117E+000
2.0000000E-002	1.1308335E+000
2.0000000E-002	1.1307619E+000
2.0000000E-002	1.1306901E+000
2.0000000E-002	1.1306132E+000
2.0000000E-002	1.1305405E+000
2.0000000E-002	1.1306770E+000
2.0000000E-002	1.1304718E+000
2.0000000E-002	1.1304067E+000
2.0000000E-002	1.1303338E+000
2.0000000E-002	1.1302611E+000
2.0000000E-002	1.1301994E+000
2.0000000E-002	1.1301320E+000
2.0000000E-002	1.1300644E+000
2.0000000E-002	1.1299837E+000
2.0000000E-002	1.1299280E+000
2.0000000E-002	1.1298597E+000
2.0000000E-002	1.1297901E+000
2.0000000E-002	1.1297190E+000
2.0000000E-002	1.1296568E+000
2.0000000E-002	1.1295859E+000
2.0000000E-002	1.1295254E+000
2.0000000E-002	1.1294466E+000
2.0000000E-002	1.1293950E+000
2.0000000E-002	1.1293142E+000
2.0000000E-002	1.1292579E+000
2.0000000E-002	1.1291997E+000
2.0000000E-002	1.1291250E+000
2.0000000E-002	1.1290606E+000
2.0000000E-002	1.1290125E+000
2.0000000E-002	1.1289405E+000
2.0000000E-002	1.1288860E+000
2.0000000E-002	1.1288127E+000
2.0000000E-002	1.1287524E+000
2.0000000E-002	1.1286920E+000
2.0000000E-002	1.1286254E+000
2.0000000E-002	1.1285642E+000
2.0000000E-002	1.1284988E+000
2.0000000E-002	1.1284287E+000
2.0000000E-002	1.1283797E+000
2.0000000E-002	1.1283095E+000
2.0000000E-002	1.1282442E+000
2.0000000E-002	1.1281929E+000
2.0000000E-002	1.1281338E+000
2.0000000E-002	1.1280602E+000
2.0000000E-002	1.1280018E+000
2.0000000E-002	1.1279371E+000
2.0000000E-002	1.1278738E+000
2.0000000E-002	1.1278185E+000
2.0000000E-002	1.1277649E+000
2.0000000E-002	1.1276950E+000
2.0000000E-002	1.1276456E+000
2.0000000E-002	1.1275834E+000
2.0000000E-002	1.1275289E+000
2.0000000E-002	1.1274695E+000
2.0000000E-002	1.1273985E+000
2.0000000E-002	1.1273477E+000
2.0000000E-002	1.1275462E+000
2.0000000E-002	1.1272889E+000
2.0000000E-002	1.1272167E+000
2.0000000E-002	1.1271632E+000
