control/mA	<Ewe>/V	
0.0000000E+000	1.2656142E+000
0.0000000E+000	1.2645776E+000
0.0000000E+000	1.2627491E+000
0.0000000E+000	1.2611240E+000
0.0000000E+000	1.2596635E+000
0.0000000E+000	1.2583188E+000
0.0000000E+000	1.2570766E+000
0.0000000E+000	1.2559215E+000
0.0000000E+000	1.2548287E+000
0.0000000E+000	1.2538000E+000
0.0000000E+000	1.2528232E+000
0.0000000E+000	1.2518903E+000
0.0000000E+000	1.2510093E+000
0.0000000E+000	1.2501512E+000
0.0000000E+000	1.2493411E+000
0.0000000E+000	1.2485579E+000
0.0000000E+000	1.2477933E+000
0.0000000E+000	1.2470720E+000
0.0000000E+000	1.2463765E+000
0.0000000E+000	1.2456924E+000
0.0000000E+000	1.2450306E+000
0.0000000E+000	1.2443925E+000
0.0000000E+000	1.2437696E+000
0.0000000E+000	1.2431642E+000
0.0000000E+000	1.2425790E+000
0.0000000E+000	1.2420073E+000
0.0000000E+000	1.2414461E+000
0.0000000E+000	1.2409164E+000
0.0000000E+000	1.2403839E+000
0.0000000E+000	1.2398609E+000
0.0000000E+000	1.2393454E+000
0.0000000E+000	1.2388527E+000
0.0000000E+000	1.2383671E+000
0.0000000E+000	1.2378889E+000
0.0000000E+000	1.2374181E+000
0.0000000E+000	1.2369694E+000
0.0000000E+000	1.2365234E+000
0.0000000E+000	1.2360841E+000
0.0000000E+000	1.2356499E+000
0.0000000E+000	1.2352213E+000
0.0000000E+000	1.2348142E+000
0.0000000E+000	1.2344018E+000
0.0000000E+000	1.2339997E+000
0.0000000E+000	1.2335960E+000
0.0000000E+000	1.2332088E+000
0.0000000E+000	1.2328300E+000
0.0000000E+000	1.2324466E+000
0.0000000E+000	1.2320774E+000
0.0000000E+000	1.2317204E+000
0.0000000E+000	1.2313627E+000
0.0000000E+000	1.2309978E+000
2.0000000E-002	1.2310529E+000
2.0000000E-002	1.2307417E+000
2.0000000E-002	1.2304214E+000
2.0000000E-002	1.2301154E+000
2.0000000E-002	1.2298057E+000
2.0000000E-002	1.2295060E+000
2.0000000E-002	1.2291932E+000
2.0000000E-002	1.2289038E+000
2.0000000E-002	1.2286049E+000
2.0000000E-002	1.2283201E+000
2.0000000E-002	1.2280364E+000
2.0000000E-002	1.2277526E+000
2.0000000E-002	1.2274752E+000
2.0000000E-002	1.2272012E+000
2.0000000E-002	1.2269309E+000
2.0000000E-002	1.2266755E+000
2.0000000E-002	1.2264118E+000
2.0000000E-002	1.2261434E+000
2.0000000E-002	1.2258804E+000
2.0000000E-002	1.2256229E+000
2.0000000E-002	1.2253776E+000
2.0000000E-002	1.2251213E+000
2.0000000E-002	1.2248678E+000
2.0000000E-002	1.2246203E+000
2.0000000E-002	1.2243779E+000
2.0000000E-002	1.2241404E+000
2.0000000E-002	1.2239003E+000
2.0000000E-002	1.2236601E+000
2.0000000E-002	1.2234266E+000
2.0000000E-002	1.2231942E+000
2.0000000E-002	1.2229698E+000
2.0000000E-002	1.2227362E+000
2.0000000E-002	1.2225062E+000
2.0000000E-002	1.2222887E+000
2.0000000E-002	1.2220700E+000
2.0000000E-002	1.2218561E+000
2.0000000E-002	1.2216462E+000
2.0000000E-002	1.2214242E+000
2.0000000E-002	1.2212108E+000
2.0000000E-002	1.2210050E+000
2.0000000E-002	1.2207882E+000
2.0000000E-002	1.2205836E+000
2.0000000E-002	1.2203897E+000
2.0000000E-002	1.2201743E+000
2.0000000E-002	1.2199762E+000
2.0000000E-002	1.2197784E+000
2.0000000E-002	1.2195685E+000
2.0000000E-002	1.2193835E+000
2.0000000E-002	1.2192049E+000
2.0000000E-002	1.2190028E+000
2.0000000E-002	1.2188917E+000
2.0000000E-002	1.2188070E+000
2.0000000E-002	1.2186205E+000
2.0000000E-002	1.2184234E+000
2.0000000E-002	1.2182393E+000
2.0000000E-002	1.2180650E+000
2.0000000E-002	1.2178774E+000
2.0000000E-002	1.2176876E+000
