control/mA	<Ewe>/V	
0.0000000E+000	1.2055629E+000
0.0000000E+000	1.2028084E+000
0.0000000E+000	1.1986786E+000
0.0000000E+000	1.1953856E+000
0.0000000E+000	1.1926183E+000
0.0000000E+000	1.1902412E+000
0.0000000E+000	1.1881452E+000
0.0000000E+000	1.1862621E+000
0.0000000E+000	1.1845555E+000
0.0000000E+000	1.1829933E+000
0.0000000E+000	1.1815555E+000
0.0000000E+000	1.1802071E+000
0.0000000E+000	1.1789433E+000
0.0000000E+000	1.1777753E+000
0.0000000E+000	1.1766474E+000
0.0000000E+000	1.1755837E+000
0.0000000E+000	1.1745691E+000
0.0000000E+000	1.1736081E+000
0.0000000E+000	1.1726923E+000
0.0000000E+000	1.1718080E+000
0.0000000E+000	1.1709601E+000
0.0000000E+000	1.1701454E+000
0.0000000E+000	1.1693496E+000
0.0000000E+000	1.1685898E+000
0.0000000E+000	1.1678630E+000
0.0000000E+000	1.1671454E+000
0.0000000E+000	1.1664565E+000
0.0000000E+000	1.1657776E+000
0.0000000E+000	1.1651212E+000
0.0000000E+000	1.1644822E+000
0.0000000E+000	1.1638693E+000
0.0000000E+000	1.1632658E+000
0.0000000E+000	1.1626866E+000
0.0000000E+000	1.1621032E+000
0.0000000E+000	1.1615435E+000
0.0000000E+000	1.1609899E+000
0.0000000E+000	1.1604604E+000
0.0000000E+000	1.1599196E+000
0.0000000E+000	1.1594181E+000
0.0000000E+000	1.1588961E+000
0.0000000E+000	1.1584030E+000
0.0000000E+000	1.1579070E+000
0.0000000E+000	1.1574256E+000
0.0000000E+000	1.1569608E+000
0.0000000E+000	1.1564841E+000
0.0000000E+000	1.1560208E+000
0.0000000E+000	1.1555852E+000
0.0000000E+000	1.1551356E+000
0.0000000E+000	1.1546979E+000
0.0000000E+000	1.1542735E+000
0.0000000E+000	1.1538531E+000
2.0000000E-002	1.1538765E+000
2.0000000E-002	1.1535161E+000
2.0000000E-002	1.1531638E+000
2.0000000E-002	1.1528038E+000
2.0000000E-002	1.1524534E+000
2.0000000E-002	1.1521138E+000
2.0000000E-002	1.1517681E+000
2.0000000E-002	1.1514295E+000
2.0000000E-002	1.1510910E+000
2.0000000E-002	1.1507663E+000
2.0000000E-002	1.1504520E+000
2.0000000E-002	1.1501224E+000
2.0000000E-002	1.1498032E+000
2.0000000E-002	1.1494962E+000
2.0000000E-002	1.1491793E+000
2.0000000E-002	1.1488805E+000
2.0000000E-002	1.1485913E+000
2.0000000E-002	1.1482984E+000
2.0000000E-002	1.1480086E+000
2.0000000E-002	1.1477219E+000
2.0000000E-002	1.1474236E+000
2.0000000E-002	1.1471510E+000
2.0000000E-002	1.1468574E+000
2.0000000E-002	1.1465815E+000
2.0000000E-002	1.1462971E+000
2.0000000E-002	1.1460357E+000
2.0000000E-002	1.1457666E+000
2.0000000E-002	1.1454917E+000
2.0000000E-002	1.1452228E+000
2.0000000E-002	1.1449659E+000
2.0000000E-002	1.1447014E+000
2.0000000E-002	1.1444522E+000
2.0000000E-002	1.1441921E+000
2.0000000E-002	1.1439486E+000
2.0000000E-002	1.1436961E+000
2.0000000E-002	1.1434634E+000
2.0000000E-002	1.1432055E+000
2.0000000E-002	1.1429613E+000
2.0000000E-002	1.1427187E+000
2.0000000E-002	1.1424826E+000
2.0000000E-002	1.1422538E+000
2.0000000E-002	1.1420138E+000
2.0000000E-002	1.1417706E+000
2.0000000E-002	1.1415399E+000
2.0000000E-002	1.1413119E+000
2.0000000E-002	1.1411027E+000
2.0000000E-002	1.1408800E+000
2.0000000E-002	1.1406486E+000
2.0000000E-002	1.1404222E+000
2.0000000E-002	1.1402085E+000
2.0000000E-002	1.1402017E+000
2.0000000E-002	1.1399890E+000
2.0000000E-002	1.1397856E+000
2.0000000E-002	1.1395632E+000
2.0000000E-002	1.1393437E+000
2.0000000E-002	1.1391370E+000
2.0000000E-002	1.1389382E+000
2.0000000E-002	1.1387296E+000
2.0000000E-002	1.1385314E+000
2.0000000E-002	1.1383204E+000
2.0000000E-002	1.1381178E+000
2.0000000E-002	1.1379131E+000
2.0000000E-002	1.1377165E+000
2.0000000E-002	1.1375213E+000
2.0000000E-002	1.1373254E+000
2.0000000E-002	1.1371258E+000
2.0000000E-002	1.1369218E+000
2.0000000E-002	1.1367322E+000
2.0000000E-002	1.1365408E+000
2.0000000E-002	1.1363485E+000
2.0000000E-002	1.1361709E+000
2.0000000E-002	1.1359786E+000
2.0000000E-002	1.1357881E+000
2.0000000E-002	1.1356004E+000
2.0000000E-002	1.1354128E+000
2.0000000E-002	1.1352346E+000
2.0000000E-002	1.1350588E+000
2.0000000E-002	1.1348857E+000
2.0000000E-002	1.1346960E+000
2.0000000E-002	1.1345181E+000
2.0000000E-002	1.1343516E+000
2.0000000E-002	1.1341748E+000
2.0000000E-002	1.1339983E+000
2.0000000E-002	1.1338288E+000
2.0000000E-002	1.1336610E+000
2.0000000E-002	1.1334877E+000
2.0000000E-002	1.1333092E+000
2.0000000E-002	1.1331475E+000
2.0000000E-002	1.1329713E+000
2.0000000E-002	1.1328030E+000
2.0000000E-002	1.1326399E+000
2.0000000E-002	1.1324902E+000
2.0000000E-002	1.1323208E+000
2.0000000E-002	1.1321495E+000
2.0000000E-002	1.1319848E+000
2.0000000E-002	1.1318237E+000
2.0000000E-002	1.1316679E+000
2.0000000E-002	1.1315001E+000
2.0000000E-002	1.1313528E+000
2.0000000E-002	1.1312019E+000
2.0000000E-002	1.1310391E+000
2.0000000E-002	1.1310384E+000
2.0000000E-002	1.1308837E+000
2.0000000E-002	1.1307243E+000
2.0000000E-002	1.1305686E+000
2.0000000E-002	1.1304133E+000
2.0000000E-002	1.1302589E+000
2.0000000E-002	1.1301142E+000
2.0000000E-002	1.1299723E+000
2.0000000E-002	1.1298199E+000
2.0000000E-002	1.1296608E+000
2.0000000E-002	1.1295174E+000
2.0000000E-002	1.1293808E+000
2.0000000E-002	1.1292297E+000
2.0000000E-002	1.1290833E+000
2.0000000E-002	1.1289455E+000
2.0000000E-002	1.1288178E+000
2.0000000E-002	1.1286683E+000
2.0000000E-002	1.1285179E+000
2.0000000E-002	1.1283677E+000
2.0000000E-002	1.1282283E+000
2.0000000E-002	1.1280886E+000
2.0000000E-002	1.1279495E+000
2.0000000E-002	1.1278074E+000
2.0000000E-002	1.1276778E+000
2.0000000E-002	1.1275407E+000
2.0000000E-002	1.1274027E+000
2.0000000E-002	1.1272627E+000
2.0000000E-002	1.1271279E+000
2.0000000E-002	1.1269867E+000
2.0000000E-002	1.1268557E+000
2.0000000E-002	1.1267183E+000
2.0000000E-002	1.1265903E+000
2.0000000E-002	1.1264659E+000
2.0000000E-002	1.1263310E+000
2.0000000E-002	1.1262001E+000
2.0000000E-002	1.1260687E+000
2.0000000E-002	1.1259366E+000
2.0000000E-002	1.1258169E+000
2.0000000E-002	1.1256739E+000
2.0000000E-002	1.1255513E+000
2.0000000E-002	1.1254247E+000
2.0000000E-002	1.1253009E+000
2.0000000E-002	1.1251822E+000
2.0000000E-002	1.1250613E+000
2.0000000E-002	1.1249319E+000
2.0000000E-002	1.1248007E+000
2.0000000E-002	1.1246831E+000
2.0000000E-002	1.1245587E+000
2.0000000E-002	1.1244372E+000
2.0000000E-002	1.1243142E+000
2.0000000E-002	1.1241924E+000
2.0000000E-002	1.1241086E+000
2.0000000E-002	1.1240758E+000
2.0000000E-002	1.1239650E+000
2.0000000E-002	1.1238478E+000
2.0000000E-002	1.1237228E+000
2.0000000E-002	1.1235985E+000
2.0000000E-002	1.1234814E+000
2.0000000E-002	1.1233662E+000
2.0000000E-002	1.1232417E+000
2.0000000E-002	1.1231309E+000
2.0000000E-002	1.1230161E+000
2.0000000E-002	1.1228919E+000
2.0000000E-002	1.1227885E+000
2.0000000E-002	1.1226708E+000
2.0000000E-002	1.1225619E+000
2.0000000E-002	1.1224408E+000
2.0000000E-002	1.1223252E+000
2.0000000E-002	1.1222125E+000
2.0000000E-002	1.1221015E+000
2.0000000E-002	1.1219872E+000
2.0000000E-002	1.1218728E+000
2.0000000E-002	1.1217541E+000
2.0000000E-002	1.1216486E+000
2.0000000E-002	1.1215490E+000
2.0000000E-002	1.1214347E+000
2.0000000E-002	1.1213256E+000
2.0000000E-002	1.1212124E+000
2.0000000E-002	1.1211083E+000
2.0000000E-002	1.1210027E+000
2.0000000E-002	1.1208967E+000
2.0000000E-002	1.1207949E+000
2.0000000E-002	1.1206810E+000
2.0000000E-002	1.1205720E+000
2.0000000E-002	1.1204765E+000
2.0000000E-002	1.1203651E+000
2.0000000E-002	1.1202695E+000
2.0000000E-002	1.1201642E+000
2.0000000E-002	1.1200567E+000
2.0000000E-002	1.1199465E+000
2.0000000E-002	1.1198474E+000
2.0000000E-002	1.1197481E+000
2.0000000E-002	1.1196517E+000
2.0000000E-002	1.1195514E+000
2.0000000E-002	1.1194452E+000
2.0000000E-002	1.1193458E+000
2.0000000E-002	1.1192480E+000
2.0000000E-002	1.1191519E+000
2.0000000E-002	1.1190606E+000
2.0000000E-002	1.1189564E+000
2.0000000E-002	1.1188546E+000
2.0000000E-002	1.1187550E+000
2.0000000E-002	1.1187061E+000
2.0000000E-002	1.1186488E+000
2.0000000E-002	1.1185488E+000
2.0000000E-002	1.1184583E+000
2.0000000E-002	1.1183584E+000
2.0000000E-002	1.1182684E+000
2.0000000E-002	1.1181705E+000
2.0000000E-002	1.1180714E+000
2.0000000E-002	1.1179857E+000
2.0000000E-002	1.1178963E+000
2.0000000E-002	1.1178075E+000
2.0000000E-002	1.1177073E+000
2.0000000E-002	1.1176072E+000
2.0000000E-002	1.1175046E+000
2.0000000E-002	1.1174147E+000
2.0000000E-002	1.1173240E+000
2.0000000E-002	1.1172323E+000
2.0000000E-002	1.1171427E+000
2.0000000E-002	1.1170441E+000
2.0000000E-002	1.1169574E+000
2.0000000E-002	1.1168656E+000
2.0000000E-002	1.1167696E+000
2.0000000E-002	1.1166823E+000
2.0000000E-002	1.1166006E+000
2.0000000E-002	1.1165026E+000
2.0000000E-002	1.1164137E+000
2.0000000E-002	1.1163238E+000
2.0000000E-002	1.1162361E+000
2.0000000E-002	1.1161352E+000
2.0000000E-002	1.1160603E+000
2.0000000E-002	1.1159704E+000
2.0000000E-002	1.1158774E+000
2.0000000E-002	1.1157947E+000
2.0000000E-002	1.1157032E+000
2.0000000E-002	1.1156132E+000
2.0000000E-002	1.1155332E+000
2.0000000E-002	1.1154528E+000
2.0000000E-002	1.1153650E+000
2.0000000E-002	1.1152762E+000
2.0000000E-002	1.1151947E+000
2.0000000E-002	1.1151017E+000
2.0000000E-002	1.1150149E+000
2.0000000E-002	1.1149392E+000
2.0000000E-002	1.1148518E+000
2.0000000E-002	1.1147709E+000
2.0000000E-002	1.1146884E+000
2.0000000E-002	1.1146052E+000
2.0000000E-002	1.1145245E+000
2.0000000E-002	1.1144440E+000
2.0000000E-002	1.1143645E+000
2.0000000E-002	1.1142867E+000
2.0000000E-002	1.1142007E+000
2.0000000E-002	1.1142062E+000
2.0000000E-002	1.1141210E+000
2.0000000E-002	1.1140375E+000
2.0000000E-002	1.1139531E+000
2.0000000E-002	1.1138774E+000
2.0000000E-002	1.1137860E+000
2.0000000E-002	1.1137065E+000
2.0000000E-002	1.1136316E+000
2.0000000E-002	1.1135533E+000
2.0000000E-002	1.1134754E+000
2.0000000E-002	1.1133963E+000
2.0000000E-002	1.1133150E+000
2.0000000E-002	1.1132365E+000
2.0000000E-002	1.1131595E+000
2.0000000E-002	1.1130872E+000
2.0000000E-002	1.1130093E+000
2.0000000E-002	1.1129409E+000
2.0000000E-002	1.1128618E+000
2.0000000E-002	1.1127812E+000
2.0000000E-002	1.1127028E+000
2.0000000E-002	1.1126246E+000
2.0000000E-002	1.1125432E+000
2.0000000E-002	1.1124686E+000
2.0000000E-002	1.1123970E+000
2.0000000E-002	1.1123198E+000
2.0000000E-002	1.1122446E+000
2.0000000E-002	1.1121641E+000
2.0000000E-002	1.1120920E+000
2.0000000E-002	1.1120123E+000
2.0000000E-002	1.1119422E+000
2.0000000E-002	1.1118699E+000
