Ewe/V	<I>/mA	
1.0883144E+000	0.000000000000000E+000
1.0854509E+000	0.000000000000000E+000
7.9909706E-001	-1.431331395167933E+001
7.9970235E-001	-1.222594210154074E+001
8.0069935E-001	-9.588057631673188E+000
8.0169839E-001	-7.576624557950339E+000
8.0269933E-001	-5.909406116210242E+000
8.0371982E-001	-4.533815242400777E+000
8.0470186E-001	-3.431064669693271E+000
8.0570513E-001	-2.572852408298019E+000
8.0667639E-001	-1.918971841554722E+000
8.0768734E-001	-1.429480795957600E+000
8.0870026E-001	-1.063212966474616E+000
8.0968124E-001	-7.906039752860217E-001
8.1070900E-001	-5.870722570201017E-001
8.1166244E-001	-4.342935856816057E-001
8.1270713E-001	-3.190039714963064E-001
8.1367749E-001	-2.314367126166614E-001
8.1466109E-001	-1.640272629572652E-001
8.1573337E-001	-1.118684668402792E-001
8.1666607E-001	-7.111270469930142E-002
8.1768435E-001	-3.914135620932463E-002
8.1870359E-001	-1.361725968348340E-002
8.1969345E-001	6.992571455410691E-003
8.2069528E-001	2.365763531179463E-002
8.2165718E-001	3.774982585430231E-002
8.2267112E-001	4.966526641246460E-002
8.2367676E-001	5.941225727489541E-002
8.2469469E-001	6.809198219580459E-002
8.2569057E-001	7.505774505588493E-002
8.2667255E-001	8.124638908297699E-002
8.2767069E-001	8.719673622588431E-002
8.2866120E-001	9.202037001178631E-002
8.2966340E-001	9.655899129271495E-002
8.3065301E-001	1.006591482153436E-001
8.3168918E-001	1.042823913181730E-001
8.3270299E-001	1.075014439612088E-001
8.3365327E-001	1.104288535211615E-001
8.3469689E-001	1.132823342062501E-001
8.3565235E-001	1.159434132024404E-001
8.3670038E-001	1.182656999193807E-001
8.3770257E-001	1.205353315575404E-001
8.3868366E-001	1.223136434973537E-001
8.3968139E-001	1.241488932709762E-001
8.4066689E-001	1.262556437768316E-001
8.4165329E-001	1.280326563336993E-001
8.4267765E-001	1.297318484811558E-001
8.4367645E-001	1.312448999300453E-001
8.4470230E-001	1.326891777080284E-001
8.4564835E-001	1.340528300756381E-001
8.4665376E-001	1.354599484884500E-001
8.4773469E-001	1.366068408131733E-001
8.4867519E-001	1.381105204279667E-001
8.4966582E-001	1.392214489106061E-001
8.5069448E-001	1.402727615440900E-001
8.5168254E-001	1.411173627829488E-001
8.5267568E-001	1.420972196505641E-001
8.5369176E-001	1.431882667446053E-001
8.5468119E-001	1.442249989920545E-001
8.5566390E-001	1.451269078352118E-001
8.5662252E-001	1.461347141338623E-001
8.5766572E-001	1.468326449563174E-001
8.5865420E-001	1.477418843743365E-001
8.5971677E-001	1.486622251574449E-001
8.6070675E-001	1.493500489137679E-001
8.6168838E-001	1.502004014021909E-001
8.6265779E-001	1.510606712995358E-001
8.6372042E-001	1.516621871999213E-001
8.6468273E-001	1.521044030344076E-001
8.6566019E-001	1.528727983656741E-001
8.6667627E-001	1.535634582296292E-001
8.6764771E-001	1.544119670053692E-001
8.6865759E-001	1.550535230639036E-001
8.6967558E-001	1.558066339025068E-001
8.7071484E-001	1.562825896240803E-001
8.7169492E-001	1.568779185163007E-001
8.7266243E-001	1.575788712501990E-001
8.7368768E-001	1.581712340125117E-001
8.7469411E-001	1.588003062284111E-001
8.7570709E-001	1.594964447293994E-001
8.7662035E-001	1.599532478138495E-001
8.7767863E-001	1.603669472452665E-001
8.7864590E-001	1.611032645110377E-001
8.7964809E-001	1.617802848169361E-001
8.8064921E-001	1.627134995592604E-001
8.8166422E-001	1.633666918006924E-001
8.8265902E-001	1.639406732653108E-001
8.8370055E-001	1.646705443491474E-001
8.8466144E-001	1.651047634695918E-001
8.8566577E-001	1.658363070279834E-001
8.8668501E-001	1.665695783895464E-001
8.8763314E-001	1.670599739054585E-001
8.8868707E-001	1.678446034771479E-001
8.8966948E-001	1.681154678489108E-001
8.9067382E-001	1.685307792275983E-001
8.9163458E-001	1.693190745565856E-001
8.9265889E-001	1.698643284226511E-001
8.9361686E-001	1.706538043933122E-001
8.9464766E-001	1.712667773321455E-001
8.9567637E-001	1.718714812215068E-001
8.9666563E-001	1.725438487434636E-001
8.9767140E-001	1.731739000727734E-001
8.9863008E-001	1.736991965167574E-001
8.9967054E-001	1.744579958070553E-001
9.0064263E-001	1.749514109738008E-001
9.0169728E-001	1.757412328165175E-001
9.0270269E-001	1.760048038440232E-001
9.0366149E-001	1.764914423613777E-001
9.0462661E-001	1.772520603821128E-001
9.0562886E-001	1.779705519120629E-001
9.0671384E-001	1.786529070628031E-001
9.0767992E-001	1.793396717133828E-001
9.0865570E-001	1.798961227675249E-001
9.0967906E-001	1.805484361463674E-001
9.1066760E-001	1.810927405676754E-001
9.1165286E-001	1.816175963524778E-001
9.1268587E-001	1.824347429038733E-001
9.1364610E-001	1.829126894958462E-001
9.1467541E-001	1.837122787250518E-001
9.1561508E-001	1.841092794339545E-001
9.1665661E-001	1.845756600285677E-001
9.1766018E-001	1.854456838490879E-001
9.1870463E-001	1.863090366266607E-001
9.1966647E-001	1.869252682916924E-001
9.2063272E-001	1.877536672767248E-001
9.2170721E-001	1.883079057314729E-001
9.2266053E-001	1.889261207617228E-001
9.2365104E-001	1.896267360807009E-001
9.2466080E-001	1.900944113393486E-001
9.2565477E-001	1.910541299722848E-001
9.2663127E-001	1.917452146098562E-001
9.2770135E-001	1.922788764856956E-001
9.2865378E-001	1.927509378417982E-001
9.2965180E-001	1.934864893933339E-001
9.3065619E-001	1.943194575010131E-001
9.3165416E-001	1.952605716400522E-001
9.3268389E-001	1.959050757126242E-001
9.3366718E-001	1.966313658200365E-001
9.3464810E-001	1.973114147140326E-001
9.3566090E-001	1.979494895701572E-001
9.3665999E-001	1.989459907889475E-001
9.3768758E-001	1.995831652340758E-001
9.3864012E-001	2.003296107949186E-001
9.3964767E-001	2.011172674245740E-001
9.4066578E-001	2.016263928395317E-001
9.4164973E-001	2.023042421715069E-001
9.4264483E-001	2.031697564760471E-001
9.4366193E-001	2.038637909472261E-001
9.4461006E-001	2.048952061104292E-001
9.4568515E-001	2.054880010536486E-001
9.4662929E-001	2.064625031067713E-001
9.4762421E-001	2.073004170850998E-001
9.4866151E-001	2.079022261704788E-001
9.4962925E-001	2.089366139538027E-001
9.5064890E-001	2.097972988524806E-001
9.5168197E-001	2.103659228829329E-001
9.5266199E-001	2.114617296171435E-001
9.5366943E-001	2.118574234587306E-001
9.5461440E-001	2.123342390258074E-001
9.5564002E-001	2.131974155868908E-001
9.5664436E-001	2.137703863785614E-001
9.5766467E-001	2.147561312059698E-001
9.5868844E-001	2.157100784026156E-001
9.5966387E-001	2.163780993273039E-001
9.6065867E-001	2.171958144036150E-001
9.6163535E-001	2.179593186922650E-001
9.6264321E-001	2.190243764660310E-001
9.6363127E-001	2.199234611517378E-001
9.6467918E-001	2.207753759135151E-001
9.6566552E-001	2.218192501876360E-001
9.6662450E-001	2.223192019945862E-001
9.6764994E-001	2.229378451793851E-001
9.6863097E-001	2.240626353120047E-001
9.6965116E-001	2.248636903621404E-001
9.7060168E-001	2.256459593414894E-001
9.7163236E-001	2.266066771701754E-001
9.7262192E-001	2.271456616485050E-001
9.7366124E-001	2.280982407865844E-001
9.7464854E-001	2.287570782499131E-001
9.7561902E-001	2.295285276625134E-001
9.7671980E-001	2.304962495122256E-001
9.7766370E-001	2.310738939720109E-001
9.7861820E-001	2.317132868201144E-001
9.7964174E-001	2.323298659788078E-001
9.8063433E-001	2.329525976650877E-001
9.8161864E-001	2.339279719833245E-001
9.8263127E-001	2.346947420062042E-001
9.8365068E-001	2.354134101327716E-001
9.8466146E-001	2.363134822480868E-001
9.8561060E-001	2.369502676068018E-001
9.8663598E-001	2.377880057992030E-001
9.8764163E-001	2.386038216578510E-001
9.8864174E-001	2.391419544659741E-001
9.8965871E-001	2.399642847229186E-001
9.9066502E-001	2.406869518915278E-001
9.9162197E-001	2.412335346653505E-001
9.9263257E-001	2.415868248220305E-001
9.9367303E-001	2.420630096637399E-001
9.9462295E-001	2.425288505751819E-001
9.9563617E-001	2.435023690935005E-001
9.9660242E-001	2.440770672203434E-001
9.9765766E-001	2.448965859918295E-001
9.9866635E-001	2.454137307611530E-001
9.9960470E-001	2.461931906414385E-001
1.0006462E+000	2.468598091725669E-001
1.0016401E+000	2.472475707623900E-001
1.0026708E+000	2.479806977098219E-001
1.0036297E+000	2.486635642555606E-001
1.0046552E+000	2.487698701377159E-001
1.0055916E+000	2.490049751302278E-001
1.0066524E+000	2.497300910055968E-001
1.0076008E+000	2.501859062541538E-001
1.0086304E+000	2.509490559912393E-001
1.0096580E+000	2.513665954208610E-001
1.0106337E+000	2.517843771970858E-001
1.0116022E+000	2.520786017499104E-001
1.0125947E+000	2.522934379220826E-001
1.0136458E+000	2.529049743232981E-001
1.0146215E+000	2.537172757249648E-001
1.0156556E+000	2.539824558407092E-001
1.0166248E+000	2.544574147922380E-001
1.0176568E+000	2.543680080932784E-001
1.0186049E+000	2.545295923150013E-001
1.0196104E+000	2.549649090256088E-001
1.0206157E+000	2.552772534719741E-001
1.0216031E+000	2.556284350805538E-001
1.0226148E+000	2.559699150913155E-001
