time/s	<Ewe>/V	
3.632047934836737E+002	1.2991605E+000
4.232047919679462E+002	1.3005565E+000
4.832047904522187E+002	1.3034904E+000
5.432047889364912E+002	1.3056395E+000
6.032047874207638E+002	1.3075619E+000
6.033067874181870E+002	1.3084255E+000
1.029017579454157E+003	1.3102181E+000
1.089017577938430E+003	1.3137988E+000
1.149017576422702E+003	1.3160973E+000
1.209017574906975E+003	1.3178886E+000
1.269017573391247E+003	1.3193666E+000
1.269119573388671E+003	1.3200136E+000
1.694398565421434E+003	1.3142238E+000
1.754398563905706E+003	1.3174136E+000
1.814398562389979E+003	1.3193814E+000
1.874398560874251E+003	1.3207761E+000
1.934398559358524E+003	1.3219031E+000
1.934500559355947E+003	1.3224019E+000
2.360725151265433E+003	1.2557971E+000
2.420725149749705E+003	1.2613533E+000
2.480725148233978E+003	1.2639010E+000
2.540725146718250E+003	1.2653500E+000
2.600725145202523E+003	1.2671568E+000
2.600827145199946E+003	1.2679083E+000
3.027346737086555E+003	1.2673945E+000
3.087346735570827E+003	1.2731591E+000
3.147346734055100E+003	1.2761352E+000
3.207346732539372E+003	1.2782058E+000
3.267346731023645E+003	1.2798324E+000
3.267448731021068E+003	1.2805500E+000
3.693512722919913E+003	1.2699270E+000
3.753512721404186E+003	1.2753127E+000
3.813512719888458E+003	1.2781203E+000
3.873512718372731E+003	1.2801330E+000
3.933512716857003E+003	1.2816892E+000
3.933614716854427E+003	1.2823620E+000
4.360803911806404E+003	1.2462453E+000
4.420803911079973E+003	1.2481679E+000
4.480803910353541E+003	1.2494625E+000
4.540803909627110E+003	1.2503917E+000
4.600803908900678E+003	1.2505575E+000
4.600905908899455E+003	1.2506794E+000
5.028164905987214E+003	1.2444490E+000
5.088164905260783E+003	1.2460878E+000
5.148164904534351E+003	1.2472655E+000
5.208164903807919E+003	1.2482911E+000
5.268164903081488E+003	1.2491720E+000
5.268266903080250E+003	1.2495483E+000
5.696496700120260E+003	1.2472453E+000
5.756496699393829E+003	1.2494636E+000
5.816496698667397E+003	1.2507735E+000
5.876496697940966E+003	1.2517574E+000
5.936496697214534E+003	1.2525316E+000
5.936598697213296E+003	1.2528430E+000
6.368083694222674E+003	1.2094909E+000
6.428083693496243E+003	1.2124429E+000
6.488083692769811E+003	1.2139405E+000
6.548083692043379E+003	1.2150203E+000
6.608083691316948E+003	1.2158961E+000
6.608185691315724E+003	1.2162867E+000
7.039127088332156E+003	1.2125136E+000
7.099127087605724E+003	1.2154920E+000
7.159127086879293E+003	1.2170377E+000
7.219127086152861E+003	1.2182050E+000
7.279127085426429E+003	1.2191679E+000
7.279229085425191E+003	1.2196066E+000
7.709548282439850E+003	1.2100499E+000
7.769548281713418E+003	1.2130666E+000
7.829548280986986E+003	1.2145547E+000
7.889548280260555E+003	1.2156466E+000
7.949548279534123E+003	1.2165281E+000
7.949650279532885E+003	1.2169555E+000
8.372192276588103E+003	1.2958176E+000
8.432192275861671E+003	1.2978725E+000
8.492192275135239E+003	1.2991371E+000
8.552192274408808E+003	1.2999787E+000
8.612192273682376E+003	1.3006494E+000
8.612294273681153E+003	1.3009692E+000
9.035752470725856E+003	1.2951069E+000
9.095752469999425E+003	1.2970971E+000
9.155752469272993E+003	1.2984363E+000
9.215752468546561E+003	1.2993305E+000
9.275752467820130E+003	1.3000783E+000
9.275854467818892E+003	1.3004183E+000
9.698946264875151E+003	1.2952471E+000
9.758946264148719E+003	1.2973995E+000
9.818946263422287E+003	1.2987138E+000
9.878946262695856E+003	1.2996464E+000
9.938946261969424E+003	1.3003787E+000
9.939048261968186E+003	1.3006976E+000
